z1,z2,hexcol,celltype,celltypeID,cellclass
-0.2588017,0.6786315,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2838517,0.7124287,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3615153,0.2611192,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2714194,0.6929793,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.298986,0.7040113,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2317725,0.7832819,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3040389,0.662838,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.229812,0.7824216,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2298979,0.7704031,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.274506,0.7241349,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3995118,0.394228,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2294856,0.7596288,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2975172,0.658815,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2338503,0.7378635,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2875264,0.7159908,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.353235,0.4297588,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2740111,0.6811166,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2887479,0.6624109,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2627068,0.7423446,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2850309,0.6722036,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2565077,0.7008665,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3077808,0.6660752,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2373883,0.7706703,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.3167315,0.663408,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2873875,0.6675854,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2989022,0.6831248,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2597035,0.7154761,#B8FFCA,ALM L2/3 IT Sla,53,0
0.71128,1.356693,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2287438,0.7712182,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.4258404,0.3821289,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2782889,0.6453056,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2688967,0.7321926,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2484618,0.7253642,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.2792669,0.6999423,#B8FFCA,ALM L2/3 IT Sla,53,0
-0.01507252,1.00499,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.03552076,1.003052,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.007689357,1.115834,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.0503273,1.038509,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.07857263,1.11132,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.1207362,1.06895,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.07780668,1.114258,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.08903337,0.885172,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.4319732,1.072992,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.07950979,1.020968,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.04918301,1.051327,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.04061359,1.051142,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.03963029,1.058429,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.02503416,1.024259,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.07364598,1.02861,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.07470366,1.019357,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.05876011,1.036415,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.3079962,1.028632,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.05588916,1.041898,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.08717436,1.053433,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.0221729,1.034894,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.0955075,1.119247,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.001331806,1.01903,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.06755453,1.019908,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.06651816,1.085524,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.06337896,1.008635,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.03272182,1.073663,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.00832963,1.054693,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.4316568,1.150301,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.1008497,0.8946395,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.07685202,1.074933,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.05072498,1.009962,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.1007918,1.032448,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.05093691,1.116528,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.112442,1.107657,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.0771507,1.098754,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.0411354,1.11357,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.0354661,1.033337,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.0155082,1.089254,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.07286817,0.9573536,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.265089,1.009895,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.08063728,0.9171363,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.01023644,1.081056,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.04410914,1.031774,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.03061238,1.088075,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.06067345,1.121461,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.0730423,1.099223,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.06493193,0.9543536,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.07954198,1.009968,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.06239349,1.001767,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.0874095,1.016647,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.08025223,1.024795,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.1456383,1.128402,#008F1F,ALM L5 IT Aldh1a7_1,65,0
-0.007273465,1.070598,#008F1F,ALM L5 IT Aldh1a7_1,65,0
0.03061244,1.105169,#008F1F,ALM L5 IT Aldh1a7_1,65,0
